Section,Sample,Height,Age,e205Tl,2SD,err,age_years,age_rounded,time
GujoHachiman,GH-99,0.22,252.9748,-4.06,0.37,1.32,252974800,252975000,0
BuchananLake,BL-157,-88,252.61,-0.223292282,0.2,1.14,252610000,252610000,365000
BuchananLake,BL-147,-78,252.53,-0.540816901,0.2,1.14,252530000,252530000,445000
BuchananLake,BL-139,-70,252.466,-0.844248341,0.176936028,1.14,252466000,252466000,509000
BuchananLake,BL-135,-66,252.434,-1.180178609,0.511405594,1.14,252434000,252434000,541000
BuchananLake,BL-131,-62,252.402,-1.078475703,0.395573176,1.14,252402000,252402000,573000
BuchananLake,BL-127,-58,252.37,-1.143034993,0.3073492,1.14,252370000,252370000,605000
BuchananLake,BL-121,-52,252.322,-1.97665319,0.565013601,1.14,252322000,252322000,653000
BuchananLake,BL-119,-50,252.306,-4.039555007,0.2,1.14,252306000,252306000,669000
BuchananLake,BL-117,-48,252.29,-4.19249604,0.347611619,1.14,252290000,252290000,685000
BuchananLake,BL-115,-46,252.274,0.095027309,0.2,1.14,252274000,252274000,701000
BuchananLake,BL-113,-44,252.258,-1.669060157,0.537848986,1.14,252258000,252258000,717000
GujoHachiman,GH-40,4.8,252.242,-2.77,0.23,1.32,252242000,252242000,733000
BuchananLake,BL-109,-40,252.226,-1.65924963,0.165709419,1.14,252226000,252226000,749000
BuchananLake,BL-104,-34,252.178,-0.892256056,0.2,1.14,252178000,252178000,797000
BuchananLake,BL-100,-30,252.146,-3.001407839,0.2,1.14,252146000,252146000,829000
Meishan,Meishan,112,252.1204944,-4.5,0.6,1.51,252120494.4,252120000,855000
BuchananLake,BL-096,-26,252.114,-3.297484809,0.2,1.14,252114000,252114000,861000
Meishan,Meishan,110.7,252.072,-7.2,0.6,1.51,252072000,252072000,903000
BuchananLake,BL-090,-20,252.066,-3.129827442,0.393235705,1.14,252066000,252066000,909000
GujoHachiman,GH-29,6.03,252.0452,-3.26,0.02,1.32,252045200,252045000,930000
Meishan,Meishan,109.81,252.0388,-5.8,0.6,1.51,252038800,252039000,936000
BuchananLake,BL-086,-16,252.034,-3.581762098,0.319419503,1.14,252034000,252034000,941000
BuchananLake,BL-083,-13,252.01,-3.016330233,0.24167283,1.14,252010000,252010000,965000
Dajiang,PDJ 1,0,252.006,0.218564764,0.642997326,1.52,252005840,252006000,969000
Meishan,Meishan,108.8,252.0011236,-4.3,0.6,1.51,252001123.6,252001000,974000
BuchananLake,BL-447,-10.2,251.9876,-3.356916138,0.171832856,1.14,251987600,251988000,987000
GujoHachiman,GH-25,6.44,251.9796,-2.83,0.11,1.32,251979600,251980000,995000
Taskent,TCX 6,6,251.976,-0.433971399,0.3,1.52,251976151.4,251976000,999000
Taskent,TCX 10,10,251.97,-3.83798989,0.3,1.52,251969885.1,251970000,1005000
Dajiang,PDJ 17,16.4,251.966,-1.8,0.3,1.52,251966480,251966000,1009000
BuchananLake,BL-453,-7.2,251.9636,-3.97871916,0.209319033,1.14,251963600,251964000,1011000
Meishan,Meishan,107.71,251.9604629,-5.1,0.6,1.51,251960462.9,251960000,1015000
Meishan,Meishan,107.38,251.9481528,-3.3,0.6,1.51,251948152.8,251948000,1027000
Dajiang,PDJ 26,25.6,251.944,-3.12,0.3,1.52,251944400,251944000,1031000
Meishan,Meishan,107.205,251.9416247,-7.8,0.6,1.51,251941624.7,251942000,1033000
Taskent,TCX 29,29,251.94,-5.23,0.3,1.52,251940120.1,251940000,1035000
BuchananLake,BL-460,-4,251.938,-2.955593268,0.003196973,1.14,251938000,251938000,1037000
Meishan,Meishan,107.045,251.9356562,-4.6,0.6,1.51,251935656.2,251936000,1039000
Meishan,Meishan,106.965,251.9326719,-5.2,0.6,1.51,251932671.9,251933000,1042000
BuchananLake,BL-464,-3.2,251.9316,-3.951855898,0.564425165,1.14,251931600,251932000,1043000
Meishan,Meishan,106.885,251.9296876,-3.9,0.6,1.51,251929687.6,251930000,1045000
Meishan,Meishan,106.8,251.9265169,-4.2,0.6,1.51,251926516.9,251927000,1048000
Meishan,Meishan,106.74,251.9242787,-2.5,0.6,1.51,251924278.7,251924000,1051000
Taskent,TCX 40,40,251.923,-4.163329783,0.548982449,1.52,251922887.7,251923000,1052000
Meishan,Meishan,106.68,251.9220404,-2,0.6,1.51,251922040.4,251922000,1053000
BuchananLake,BL-470,-2,251.922,-3.387172304,0.646966758,1.14,251922000,251922000,1053000
Meishan,Meishan,106.62,251.9198022,-1.7,0.6,1.51,251919802.2,251920000,1055000
BuchananLake,BL-472,-1.6,251.9188,-3.67989001,0.184329765,1.14,251918800,251919000,1056000
Meishan,Meishan,106.56,251.917564,-0.8,0.6,1.51,251917564,251918000,1057000
GujoHachiman,GH-18,6.83,251.9172,-1.54,0.04,1.32,251917200,251917000,1058000
BuchananLake,BL-474,-1.2,251.9156,-3.719239981,0.501293142,1.14,251915600,251916000,1059000
Meishan,Meishan,106.5,251.9153258,-1.6,0.6,1.51,251915325.8,251915000,1060000
