section,sample,e205Tl,err,age_ma,age_years,age_rounded,time
Gujo-Hachiman,GH-99,-4.06,1.46,253.01,253009800,253010000,0
Buchanan Lake,BL-157,-0.2,1.25,252.642,252642016.9,252642000,368000
Gujo-Hachiman,GH-9,-1.22,1.46,252.608,252608200,252608000,402000
Buchanan Lake,BL-147,-0.5,1.25,252.562,252562355.9,252562000,448000
Buchanan Lake,BL-139,-0.8,1.25,252.499,252498627.1,252499000,511000
Buchanan Lake,BL-135,-1.2,1.25,252.467,252466762.7,252467000,543000
Buchanan Lake,BL-131,-1.1,1.25,252.435,252434898.3,252435000,575000
Buchanan Lake,BL-127,-1.1,1.25,252.403,252403033.9,252403000,607000
Buchanan Lake,BL-121,-2,1.25,252.355,252355237.3,252355000,655000
Buchanan Lake,BL-119,-4,1.25,252.339,252339305.1,252339000,671000
Buchanan Lake,BL-117,-4.2,1.25,252.323,252323372.9,252323000,687000
Buchanan Lake,BL-115,0.1,1.25,252.307,252307440.7,252307000,703000
Buchanan Lake,BL-113,-1.7,1.25,252.292,252291508.5,252292000,718000
Gujo-Hachiman,GH-8,-1.68,1.46,252.277,252277000,252277000,733000
Buchanan Lake,BL-109,-1.7,1.25,252.26,252259644.1,252260000,750000
Buchanan Lake,BL-104,-0.9,1.25,252.212,252211847.5,252212000,798000
Buchanan Lake,BL-100,-3,1.25,252.18,252179983.1,252180000,830000
Buchanan Lake,BL-096,-3.3,1.25,252.148,252148118.6,252148000,862000
Dajiang,PDJ 1,0.2,1.41,252.14,252140000,252140000,870000
Buchanan Lake,BL-090,-3.1,1.25,252.1,252100322,252100000,910000
Gujo-Hachiman,GH-70,-3.53,1.46,252.08,252080200,252080000,930000
Taşkent,TCX 6,-0.4,1.63,252.078,252078379.9,252078000,932000
Buchanan Lake,BL-086,-3.6,1.25,252.068,252068457.6,252068000,942000
Taşkent,TCX 10,-3.8,1.63,252.066,252066108.4,252066000,944000
Dajiang,PDJ 17,-1.8,1.41,252.063,252063000,252063000,947000
Buchanan Lake,BL-083,-3,1.25,252.045,252044559.3,252045000,965000
Buchanan Lake,BL-447,-3.4,1.25,252.022,252022254.2,252022000,988000
Dajiang,PDJ 26,-3.1,1.41,252.02,252020000,252020000,990000
Gujo-Hachiman,GH-7,-1.64,1.46,252.015,252014600,252015000,995000
Taşkent,TCX 29,-5.2,1.63,252.008,252007818.5,252008000,1002000
Buchanan Lake,BL-453,-4,1.25,251.998,251998355.9,251998000,1012000
Taşkent,TCX 40,-4.2,1.63,251.974,251974071.8,251974000,1036000
Buchanan Lake,BL-460,-3,1.25,251.973,251972864.4,251973000,1037000
Buchanan Lake,BL-464,-4,1.25,251.966,251966491.5,251966000,1044000
Buchanan Lake,BL-470,-3.4,1.25,251.957,251956932.2,251957000,1053000
Taşkent,TCX 46,-5.26,1.63,251.956,251955664.5,251956000,1054000
Buchanan Lake,BL-472,-3.7,1.25,251.954,251953745.8,251954000,1056000
Dajiang,PDJ 40,-6.2,1.41,251.953,251953000,251953000,1057000
Gujo-Hachiman,GH-6,-3.07,1.46,251.952,251952200,251952000,1058000
Buchanan Lake,BL-474,-3.7,1.25,251.951,251950559.3,251951000,1059000
Buchanan Lake,BL-475,-3.7,1.25,251.949,251948966.1,251949000,1061000
Buchanan Lake,BL-476,-3.6,1.25,251.947,251947372.9,251947000,1063000
Gujo-Hachiman,GH-5,-1.89,1.46,251.947,251947400,251947000,1063000
Buchanan Lake,BL-477,-4.8,1.25,251.946,251945779.7,251946000,1064000
